Mission Name,Objective,Mission Type
Memórias Perdidas,"Recupere a boneca de Sarah, ela perdeu ela fugindo de zombies ao norte da fábrica. ",Collection
Silêncio Mortal,Sobreviva a uma noite sem usar nenhuma arma de fogo.,Specialist
A Cura Está em Suas Mãos,Colete 5 kits médicos para a enfermeira.,Collection
Infestação Básica,Mate x zombies comuns,Extermination
Casca Dura,Mate x zombies blindados,Extermination
Cuidado ao Tocar,Mate x zombies explosivos,Extermination
Correria Noturna,"Mate x zombies ágeis ",Extermination
Botânica Hostil,Mate x plantas cospidoras,Extermination
Ar de Veneno,Mate x zombies venenosos,Extermination
Raízes do Mal,Mate x zombies enraizados,Extermination
Pisando em Gigantes,Mate x zombies gigantes,Extermination
Lama e Terror,Mate x zombies lamacentos,Extermination
Turno Final,Mate x zombies mineradores,Extermination
Sombras que Andam,Mate x zombies translucidos,Extermination
Frio na Espinha,Mate x zombies gelidos,Extermination
Quebra-Corpos,Mate x zombies partidos,Extermination
Não Morrem Nunca,Mate x zombies regenerativos,Extermination
Fome Eterna,Mate x zombies carniçais,Extermination
Execução Implacável,Mate x zombies executores,Extermination
Silêncio dos Mortos,Mate x zombies necromantes,Extermination
Cavaleiros do Fim,Mate x zombies cavaleiros,Extermination
Ferramentas de Sobrevivência,Encontre 3 Caixas de Ferramentas para o mecânico concertar e gerador.,Collection
Sustento Essencial,Recupere 10 Pacotes de Rações.,Collection
Conserto Necessário,Coleta de 5 Peças de armas quebradas. Para o armeiro.,Collection
O Último Testamento,"Encontre o Diário Perdido de Maria, em algum lugar ao sul da fábrica.",Collection
Circuito Vital,Recupere 4 Placas de Circuito para o Engenheiro.,Collection
Mutação Vegetal,Colete 3 Amostras de Planta Mutante no Jardim Esquecido.,Collection
Lâminas Famintas,Derrote X zumbis usando apenas armas brancas.,Specialist
Intocável,Sobreviva a uma noite sem receber dano.,Specialist
Nas chamas do inferno,Mate 200 inimigos com o lança chamas,Specialist
Borracharia do fim do mundo,Encontre 4 pneus para concertar o carro de policia.,Collection
Upgrade High Ending,Busque 3 monitores para montar o setup do garotinho.,Collection
Pelo lado errado,Sobreviva uma noite sem pisar na area da fábrica.,Specialist
Efeito colateral,Mate 500 zombies através de tiros perfurantes.,Specialist
Eu sou a velocidade,Mate 10 zombies em menos de 1 segundo.,Specialist
Dedo nervoso,Gaste um total de 1000 de munição.,Specialist
Mira perfeita,Mate 20 zombies com armas de fogo em sequência sem errar nenhum tiro.,Specialist
Demolição,Mate 100 zombies com explosões.,Specialist
